player_id,talent_score,count,average_talent_score,normalized_talent_score,classification,trend,id,name,club_id,new_id
1190547,153.6,2,76.8,20,ASPIRING,N/A,1190547,Louis Hajdinaj,166,9fbef6c9
1190567,2125.5,2,1062.75,21,ASPIRING,N/A,1190567,Allan Badirou,14926,9a4bbe14
1190629,777.0,1,777.0,21,ASPIRING,N/A,1190629,Alessandro Buonaiuto,14908,af1e25f0
1190631,2416.3999999999996,1,2416.3999999999996,22,ASPIRING,N/A,1190631,Marcello Riccardi,14908,196800000000000015100721083484772338922234292969452884991015397865029338220665340082930432328646419124893922409679159296
1190635,1874.6,1,1874.6,21,ASPIRING,N/A,1190635,Samuele Domizzi,14908,e30cec37
1190644,821.8,1,821.8,21,ASPIRING,N/A,1190644,Gabriele Gnani,14908,85b51843
1190646,2599.7999999999997,1,2599.7999999999997,22,ASPIRING,N/A,1190646,Daniele Pistillo,14908,4915f024
1190649,52.8,1,52.8,20,ASPIRING,N/A,1190649,Carmelo Piccolo,22356,2f86aed8
1190650,93.60000000000001,2,46.800000000000004,20,ASPIRING,N/A,1190650,Samuele Baldacci,8525,4a440e40
1190670,593.5999999999999,1,593.5999999999999,20,ASPIRING,N/A,1190670,Andrea Di Palma,75868,fa1aa10e
1190674,3880.7999999999997,1,3880.7999999999997,23,ASPIRING,N/A,1190674,Donel Mampuya,14908,b4e843dc
1190772,366.3,1,366.3,20,ASPIRING,N/A,1190772,Álex González,8384,a875b773
1190784,188.39999999999998,3,62.79999999999999,20,ASPIRING,N/A,1190784,Matteo Zattini,1105,9a14ea33
1190832,345.59999999999997,2,172.79999999999998,20,ASPIRING,N/A,1190832,Gianluca Pirvu,8077,9cb442b4
1190964,20.4,2,10.2,20,ASPIRING,N/A,1190964,Giovanni Baracco,4515,19c223dd
1191062,526.4,1,526.4,20,ASPIRING,N/A,1191062,Tommaso Acquas,14821,8543860c
1191063,1173.1999999999998,1,1173.1999999999998,21,ASPIRING,N/A,1191063,Lorenzo Arnesi,14821,fecbd16f
1191064,2331.0,1,2331.0,22,ASPIRING,N/A,1191064,Lorenzo Bacciardi,14821,6d1c4bec
1191065,2948.3999999999996,2,1474.1999999999998,21,ASPIRING,N/A,1191065,Matteo Battista,14821,df2e5e1f
1191066,2886.7999999999997,2,1443.3999999999999,21,ASPIRING,N/A,1191066,Daniel Battistella,14821,d6472576
1191067,754.5999999999999,1,754.5999999999999,21,ASPIRING,N/A,1191067,Marco Bennardi,14821,ff752a01
1191068,1625.3999999999999,1,1625.3999999999999,21,ASPIRING,N/A,1191068,Brando Bettazzi,14821,64cd28db
1191069,2938.6,3,979.5333333333333,21,ASPIRING,N/A,1191069,Louis Buffon,14821,ee30c6e8
1191070,3274.6,1,3274.6,23,ASPIRING,N/A,1191070,Diego Capitanini,14821,74f0d12a
1191071,4256.0,2,2128.0,22,ASPIRING,N/A,1191071,Marco Cenerini,14821,cc6fd9ab
1191074,1552.6,1,1552.6,21,ASPIRING,N/A,1191074,Marco Fabbri,14821,47e72c4e
1191075,814.8,1,814.8,21,ASPIRING,N/A,1191075,Edoardo Menicucci,55216,fe6fee4c
1191077,1971.1999999999998,1,1971.1999999999998,22,ASPIRING,N/A,1191077,Eric Puntin,14821,40a25296
1191078,1020.5999999999999,1,1020.5999999999999,21,ASPIRING,N/A,1191078,Manuel Termini,14821,5cc0cefb
1191079,4789.4,4,1197.35,21,ASPIRING,N/A,1191079,Lorenzo Tosi,4172,7eabd9c6
1191080,3042.2,1,3042.2,22,ASPIRING,N/A,1191080,Cristian Vivace,14821,c42f5c44
1191086,22.4,1,22.4,20,ASPIRING,N/A,1191086,Louis Bendinelli,55216,ae21a32d
1191122,603.4,1,603.4,20,ASPIRING,N/A,1191122,Meson Becchio,26370,808e327f
1191625,0.0,1,0.0,20,ASPIRING,N/A,1191625,Gaetano Santarpia,22048,668870cd
1191716,662.1999999999999,4,165.54999999999998,20,ASPIRING,N/A,1191716,Aurelio Isufi,50258,1a48f144
1191726,1114.8,1,1114.8,21,ASPIRING,N/A,1191726,Lord Martey,4544,97c7da7c
1191742,0.0,1,0.0,20,ASPIRING,N/A,1191742,Leonardo Sparaventi,56697,572ed5d9
