player_id,name,new_id,own_goals,yellow_cards,yellow_red_cards,red_cards,minutes_played,penalty_goals,minutes_per_goal,matches,goals,assists,to_nil,conceded_goals
1004618,Stredair Appuah,d178e9fa,0,4,0,0,4196,0,2680.0,66,7,1,0,0
1004619,Dehmaine Assoumani,ecf4b98d,0,10,0,0,5023,0,2846.0,80,7,3,0,0
1004622,Timothé David,aa10c88d,0,5,0,0,2900,0,1208.0,48,2,1,0,0
1004663,Mathieu Bouteloup,ae92f6f1,0,2,0,0,2520,0,0.0,28,0,0,9,30
1004681,Tony Strata,120ebfbe,0,4,0,0,3385,0,749.0,51,2,0,0,0
1004708,Josh Acheampong,02be0bf6,0,6,0,0,4851,0,24033333334571.0,66,6,8,0,0
1004723,Fellipe Jack,b4eb8dda,0,3,0,0,1257,0,1157.0,16,1,0,0,0
1004803,Simone Di Meglio,efa69ddc,0,5,0,0,1160,0,522.5,27,2,0,0,0
1004829,Mathis Touho,ea782dc5,0,5,0,0,4584,2,149704761905371.0,80,20,5,0,0
1004834,George Ilenikhena,d1889731,0,5,0,0,3485,0,10466666667280.15,84,33,1,0,0
1005071,Eyram Viegbe,5267eb8a,0,7,0,1,4499,0,1296.0,61,2,1,0,0
1005191,Jesus Christ Mawete,374fdc28,0,5,0,0,2405,0,0.0,50,0,1,0,0
1005240,Christian Mawissa,143418bf,1,11,1,0,4723,0,558.0,65,2,0,0,0
1005275,Flavio Massimo Chianese,f2d42bac,0,3,0,0,2304,0,0.0,45,0,0,0,0
1005289,Exaucé Mafoumbi,83d62a44,0,7,0,0,3840,0,88326262626737.0,56,33,2,0,0
1005313,Nassoidillahi Ahamada,cbd70f46,0,2,0,0,901,0,0.0,12,0,0,0,0
1005506,Omar Nenci,6445b865,0,5,0,1,1498,0,0.0,30,0,0,0,0
1005598,Matteo Mahi,39ebbb57,0,0,0,0,79,0,0.0,4,0,0,0,0
1005734,Muhammed Bejdic,e275b76d,0,2,0,0,601,0,364.0,25,4,0,0,0
1005786,Fer Pérez,3c2d2a5f,0,0,0,0,540,0,0.0,6,0,0,1,13
1005843,Gabriele Biancheri,1ba061ab,0,3,1,0,2564,5,10091666667913.0,50,20,4,0,0
1005844,Brayden Clarke,03f84844,3,11,0,0,7235,0,378.0,97,1,3,0,0
1005852,George Morgan,47d26c5a,0,2,0,0,1247,1,377.0,25,3,2,0,0
1005997,Nicolò Baldo,6974636b,0,6,0,0,3884,2,35618681318739.0,64,23,6,0,0
1006089,Francesco Bova,90631bf9,0,6,0,0,3376,0,1442.0,51,4,2,0,0
1006478,Marco Suárez,67d0669c,0,4,0,0,5270,0,0.0,59,0,1,16,67
1006538,Álex Iglesias,44000358,0,11,0,0,2713,0,1798.5,49,3,0,0,0
1006551,Lluc Matas,6a5ae97c,0,1,0,0,210,0,0.0,2,0,0,1,1
1007773,Matias Pastori,d0c10ac4,0,8,0,0,3509,0,0.0,52,0,7,0,0
1008000,Giulio Dema,792310c2,0,10,0,0,4763,0,0.0,67,0,1,0,0
1008018,Andrea Fusco,74cd4aca,0,13,1,1,2694,0,0.0,45,0,0,0,0
1008223,Alexandru Șiman,acc8605c,0,2,0,0,2920,0,1694.75,45,6,1,0,0
1008254,Mattis Rohlfing,1937eb29,0,1,2,1,2880,1,715.0,49,7,1,0,0
1008565,Raffaele Mantini,fa3cd7aa,0,2,0,0,1759,0,0.0,20,0,0,4,30
1008566,Cristian Cama,867ad5fe,0,2,0,0,4558,0,3701.0,63,4,9,0,0
1008567,Manuel Maffessoli,99cb5a02,0,4,0,0,2852,0,2377.0,43,3,1,0,0
1008569,Federico Coletta,5f783138,0,3,0,0,3201,0,27258333334036.6,47,22,7,0,0
1008570,Mattia Mosconi,b461d2bc,0,8,0,0,5918,3,14055555683701.2,93,48,26,0,0
1008591,Adrián Barquero,b1296e89,0,4,0,0,1206,0,78333333333791.5,25,5,1,0,0
1008751,Jacopo Gasparini,31f3d520,0,3,0,0,2361,0,242.0,43,1,2,0,0
1009122,Matteo Capozzi,dd42276c,0,9,0,0,4914,0,64366666667319.0,66,8,5,0,0
1009124,Andrea Morara,09f3d8a1,0,1,0,0,335,0,45.0,6,1,0,0,0
1009596,Junior Diaz,bed808a2,0,10,0,1,4472,0,2223.0,57,2,0,0,0
1009616,Dominik Drobnic,13be4271,0,5,0,0,4197,0,2523.0,50,3,0,0,0
1009633,David Pejičić,e78a632d,0,12,0,1,5696,4,2867.5,81,16,12,0,0
1009636,Leon Rashica,ff1583f5,0,0,0,0,225,0,0.0,5,0,0,0,0
1009766,David Otorbi,2206a94f,0,1,0,0,1529,0,0.0,35,0,5,0,0
1009941,Álex García,d9773a06,0,6,0,0,4913,0,1579.0,61,1,3,0,0
1010044,Dylan Ourega,92b9219f,0,7,0,0,5916,0,1006.0,86,7,0,0,0
1010150,Adam Bakoune,b5559d52,0,13,1,0,6162,0,0.0,90,0,12,0,0
1010671,Martin Rossignol,4b647981,0,2,0,0,3309,0,1501.0,60,5,6,0,0
1010782,Gabriel Arditi,383e2e47,0,8,0,0,2182,0,415.0,54,10,2,0,0
1010814,Mahdi El Makhfi,2ac20a7c,0,0,0,0,105,0,0.0,2,0,0,0,5
1010851,King Manu,1d469694,0,9,0,1,3578,0,890.25,52,8,3,0,0
1010855,Aboubacar Ali Abdallah,ec9f3f14,0,6,0,0,2584,0,720.5,47,10,1,0,0
1010903,Drew Murray,92e6d81d,0,2,0,0,619,0,0.0,12,0,1,0,0
1010923,Bradley Kelly,6438c8b7,0,0,0,0,90,0,0.0,1,0,0,0,3
1010950,Berkem Kurt,89624573,0,4,0,1,1928,0,1663.0,32,1,1,0,0
1011132,Carter Pinnington,c19fd6c4,0,0,0,0,3308,0,0.0,42,0,0,0,0
1011134,Kai Crampton,152b0a32,0,0,0,0,582,0,0.0,8,0,0,4,8
